City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,charters towers,-20.1,146.2667,14.73,92,7,2.85,AU,1686431014
1,constantia,44.1833,28.65,18.38,87,95,2.94,RO,1686430898
2,udachny,66.4167,112.4,11.36,100,94,0.78,RU,1686431014
3,kapuskasing,49.4169,-82.4331,10.05,71,100,6.69,CA,1686431015
4,ornskoldsvik,63.2909,18.7153,9.53,81,65,1.03,SE,1686431015
5,mount pearl,47.5166,-52.7813,10.19,95,75,8.23,CA,1686431015
6,luderitz,-26.6481,15.1594,12.7,88,0,3.51,NA,1686431015
7,witzenhausen,51.3333,9.8667,21.97,74,5,1.55,DE,1686431015
8,waitangi,-43.9535,-176.5597,11.57,86,98,0.45,NZ,1686431015
9,fort bragg,35.139,-79.006,31.36,28,20,3.6,US,1686431015
10,hami,42.8,93.45,29.1,13,0,5.33,CN,1686431015
11,edinburgh of the seven seas,-37.0676,-12.3116,15.06,85,86,6.1,SH,1686431016
12,crieff,56.3727,-3.8389,14.31,97,97,2.26,GB,1686431016
13,haiku-pauwela,20.9219,-156.3051,30.01,42,20,10.8,US,1686431016
14,adamstown,-25.066,-130.1015,20.33,58,100,6.23,PN,1686431016
15,kodiak,57.79,-152.4072,7.73,93,100,6.69,US,1686431016
16,northwest harborcreek,42.1494,-79.9946,25.51,38,0,2.57,US,1686431016
17,port-aux-francais,-49.35,70.2167,3.91,62,100,14.15,TF,1686431016
18,kirakira,-10.4544,161.9205,26.91,85,73,2.99,SB,1686431016
19,malakal,9.5334,31.6605,24.88,82,98,2.22,SS,1686431016
20,ushuaia,-54.8,-68.3,4.81,75,20,6.17,AR,1686431017
21,papatowai,-46.5619,169.4708,7.98,74,95,1.47,NZ,1686431017
22,sitka,57.0531,-135.33,11.94,82,100,3.09,US,1686430772
23,kapa'a,22.0752,-159.319,28.18,76,75,5.66,US,1686431017
24,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,41,20,5.0,RU,1686430718
25,invercargill,-46.4,168.35,6.96,95,100,2.7,NZ,1686431017
26,vorgashor,67.5833,63.95,8.0,89,98,0.56,RU,1686430725
27,east london,-33.0153,27.9116,14.69,68,0,3.61,ZA,1686431017
28,broken hill,-31.95,141.4333,8.97,69,0,3.62,AU,1686430952
29,ribeira grande,38.5167,-28.7,20.22,60,20,4.63,PT,1686431017
30,dzilam gonzalez,21.2833,-88.9333,31.74,59,7,5.11,MX,1686431018
31,cabo san lucas,22.8909,-109.9124,32.88,36,0,5.18,MX,1686430827
32,college,64.8569,-147.8028,20.26,44,75,3.09,US,1686431018
33,salinopolis,-0.6136,-47.3561,26.68,84,9,5.18,BR,1686431018
34,huarmey,-10.0681,-78.1522,23.44,73,9,5.32,PE,1686431018
35,albany,42.6001,-73.9662,23.03,53,91,0.45,US,1686430734
36,quellon,-43.1167,-73.6167,7.14,93,75,1.54,CL,1686431018
37,orcopampa,-15.2661,-72.3417,11.95,26,1,5.16,PE,1686431018
38,hamilton,39.1834,-84.5333,30.28,31,0,4.63,US,1686430355
39,hermanus,-34.4187,19.2345,13.95,73,8,1.59,ZA,1686431018
40,tiksi,71.6872,128.8694,3.4,72,47,2.94,RU,1686431019
41,pucon,-39.2822,-71.9543,5.2,89,49,1.28,CL,1686430752
42,saint-pierre,-21.3393,55.4781,21.98,73,0,3.09,RE,1686430761
43,el triunfo,-1.9333,-79.9667,31.02,74,100,0.41,EC,1686431019
44,georgetown,5.4112,100.3354,27.23,91,40,1.03,MY,1686430966
45,ketchikan,55.3422,-131.6461,17.26,59,20,7.2,US,1686431019
46,uturoa,-16.7333,-151.4333,26.96,64,69,6.28,PF,1686431019
47,grytviken,-54.2811,-36.5092,0.56,98,100,1.65,GS,1686431019
48,puerto natales,-51.7236,-72.4875,6.25,61,40,12.86,CL,1686431019
49,lisakovsk,52.5369,62.4936,17.05,44,0,1.11,KZ,1686431019
50,blackmans bay,-43.0167,147.3167,11.07,86,98,2.76,AU,1686431019
51,bethel,41.3712,-73.414,25.19,49,40,3.09,US,1686430777
52,saipan,15.1355,145.701,28.14,100,0,2.57,MP,1686431020
53,thompson,55.7435,-97.8558,23.09,28,40,4.63,CA,1686431003
54,tuba city,36.135,-111.2399,26.31,15,100,3.45,US,1686431020
55,nova vicosa,-17.8919,-39.3719,23.47,83,13,3.78,BR,1686431020
